run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-2-20251226-14:33:20-84774,runattr,,,configname,General,,
General-2-20251226-14:33:20-84774,runattr,,,datetime,20251226-14:33:20,,
General-2-20251226-14:33:20-84774,runattr,,,datetimef,20251226-143320,,
General-2-20251226-14:33:20-84774,runattr,,,experiment,General,,
General-2-20251226-14:33:20-84774,runattr,,,inifile,omnetpp.ini,,
General-2-20251226-14:33:20-84774,runattr,,,iterationvars,,,
General-2-20251226-14:33:20-84774,runattr,,,iterationvarsd,,,
General-2-20251226-14:33:20-84774,runattr,,,iterationvarsf,,,
General-2-20251226-14:33:20-84774,runattr,,,measurement,,,
General-2-20251226-14:33:20-84774,runattr,,,network,src.AdhocNetwork1,,
General-2-20251226-14:33:20-84774,runattr,,,processid,84774,,
General-2-20251226-14:33:20-84774,runattr,,,repetition,2,,
General-2-20251226-14:33:20-84774,runattr,,,replication,#2,,
General-2-20251226-14:33:20-84774,runattr,,,resultdir,results,,
General-2-20251226-14:33:20-84774,runattr,,,runnumber,2,,
General-2-20251226-14:33:20-84774,runattr,,,seedset,2,,
General-2-20251226-14:33:20-84774,config,,,image-path,../../../inet4.5/images,,
General-2-20251226-14:33:20-84774,config,,,repeat,5,,
General-2-20251226-14:33:20-84774,config,,,network,src.AdhocNetwork1,,
General-2-20251226-14:33:20-84774,config,,,sim-time-limit,50s,,
General-2-20251226-14:33:20-84774,config,,,*.host[*].ipv4.arp.typename,GlobalArp,,
General-2-20251226-14:33:20-84774,config,,,*.host[*].numApps,3,,
General-2-20251226-14:33:20-84774,config,,,*.host[*].app[0].typename,src.cluster.ClusterApp,,
General-2-20251226-14:33:20-84774,config,,,*.host[*].app[0].localPort,4000,,
General-2-20251226-14:33:20-84774,config,,,*.host[*].app[0].destPort,4000,,
General-2-20251226-14:33:20-84774,config,,,*.host[*].app[0].helloInterval,1s,,
General-2-20251226-14:33:20-84774,config,,,*.host[*].app[0].cfInterval,3s,,
General-2-20251226-14:33:20-84774,config,,,*.host[*].app[0].hldTimeThreshold,1s,,
General-2-20251226-14:33:20-84774,config,,,*.host[*].app[0].maxTrials,3,,
General-2-20251226-14:33:20-84774,config,,,*.host[*].app[0].requestTimeout,1s,,
General-2-20251226-14:33:20-84774,config,,,*.host[*].app[0].maxClusterSize,10,,
General-2-20251226-14:33:20-84774,config,,,*.host[*].app[1].typename,src.tcp.RecordingTcpClientApp,,
General-2-20251226-14:33:20-84774,config,,,*.host[*].app[1].delaySamplePeriod,1s,,
General-2-20251226-14:33:20-84774,config,,,*.host[*].app[1].delayStaleWindow,3s,,
General-2-20251226-14:33:20-84774,config,,,*.host[*].app[1].connectPort,1000,,
General-2-20251226-14:33:20-84774,config,,,*.host[*].app[1].tOpen,"uniform(1s, 2s)",,
General-2-20251226-14:33:20-84774,config,,,*.host[*].app[1].tSend,"uniform(1s, 2s)",,
General-2-20251226-14:33:20-84774,config,,,*.host[*].app[1].thinkTime,"uniform(0s, 1s)",,
General-2-20251226-14:33:20-84774,config,,,*.host[*].app[1].idleInterval,"uniform(3s, 5s)",,
General-2-20251226-14:33:20-84774,config,,,*.host[*].app[1].sendBytes,200B,,
General-2-20251226-14:33:20-84774,config,,,*.host[*].app[1].sendInterval,"uniform(1s, 2s)",,
General-2-20251226-14:33:20-84774,config,,,*.host[*].app[1].connectAddress,"""host["" + string((index + intuniform(1,24)) % 25) + ""]""",,
General-2-20251226-14:33:20-84774,config,,,*.host[*].app[2].typename,TcpEchoApp,,
General-2-20251226-14:33:20-84774,config,,,*.host[*].app[2].localPort,1000,,
General-2-20251226-14:33:20-84774,config,,,*.host[*].typename,RouterWithMetrics,,
General-2-20251226-14:33:20-84774,config,,,**.metrics.samplePeriod,0.5s,,
General-2-20251226-14:33:20-84774,config,,,**.metrics.recordPerUtility,true,,
General-2-20251226-14:33:20-84774,config,,,*.host[*].wlan[0].typename,WirelessInterface,,
General-2-20251226-14:33:20-84774,config,,,*.host[*].wlan[0].radio.transmitter.communicationRange,350m,,
General-2-20251226-14:33:20-84774,config,,,*.host[*].wlan[0].radio.receiver.ignoreInterference,false,,
General-2-20251226-14:33:20-84774,config,,,*.host[*].wlan[0].radio.transmitter.interferenceRange,400m,,
General-2-20251226-14:33:20-84774,config,,,*.host[*].wlan[0].radio.typename,UnitDiskRadio,,
General-2-20251226-14:33:20-84774,config,,,*.host[*].wlan[0].mac.typename,CsmaCaMac,,
General-2-20251226-14:33:20-84774,config,,,*.host[*].wlan[0].mac.ackTimeout,300us,,
General-2-20251226-14:33:20-84774,config,,,*.host[*].wlan[0].mac.useAck,true,,
General-2-20251226-14:33:20-84774,config,,,*.host[*].wlan[0].mac.fullDuplex,false,,
General-2-20251226-14:33:20-84774,config,,,*.host[*].wlan[0].mac.headerLength,23B,,
General-2-20251226-14:33:20-84774,config,,,*.host[*].mobility.typename,BonnMotionMobility,,
General-2-20251226-14:33:20-84774,config,,,*.host[*].mobility.traceFile,"""bonnmotion.movements""",,
General-2-20251226-14:33:20-84774,config,,,*.host[*].mobility.is3D,false,,
General-2-20251226-14:33:20-84774,config,,,*.host[*].mobility.nodeId,-1,,
General-2-20251226-14:33:20-84774,config,,,*.host[*].wlan[0].queue.typename,DropTailQueue,,
General-2-20251226-14:33:20-84774,config,,,*.host[*].wlan[0].queue.packetCapacity,10,,
General-2-20251226-14:33:20-84774,config,,,*.host[*].hasStatus,true,,
General-2-20251226-14:33:20-84774,config,,,*.host[*].wlan[0].radio.energyConsumer.typename,StateBasedEpEnergyConsumer,,
General-2-20251226-14:33:20-84774,config,,,*.host[*].wlan[0].radio.energyConsumer.offPowerConsumption,0mW,,
General-2-20251226-14:33:20-84774,config,,,*.host[*].wlan[0].radio.energyConsumer.sleepPowerConsumption,1mW,,
General-2-20251226-14:33:20-84774,config,,,*.host[*].wlan[0].radio.energyConsumer.switchingPowerConsumption,1mW,,
General-2-20251226-14:33:20-84774,config,,,*.host[*].wlan[0].radio.energyConsumer.receiverIdlePowerConsumption,2mW,,
General-2-20251226-14:33:20-84774,config,,,*.host[*].wlan[0].radio.energyConsumer.receiverBusyPowerConsumption,5mW,,
General-2-20251226-14:33:20-84774,config,,,*.host[*].wlan[0].radio.energyConsumer.receiverReceivingPowerConsumption,10mW,,
General-2-20251226-14:33:20-84774,config,,,*.host[*].wlan[0].radio.energyConsumer.transmitterIdlePowerConsumption,2mW,,
General-2-20251226-14:33:20-84774,config,,,*.host[*].wlan[0].radio.energyConsumer.transmitterTransmittingPowerConsumption,100mW,,
General-2-20251226-14:33:20-84774,config,,,*.host[*].energyStorage.typename,SimpleEpEnergyStorage,,
General-2-20251226-14:33:20-84774,config,,,*.host[*].energyStorage.nominalCapacity,2J,,
General-2-20251226-14:33:20-84774,config,,,*.host[*].energyStorage.initialCapacity,2J,,
General-2-20251226-14:33:20-84774,config,,,*.host[*].energyManagement.typename,SimpleEpEnergyManagement,,
General-2-20251226-14:33:20-84774,config,,,*.host[*].energyManagement.nodeStartCapacity,0.0001J,,
General-2-20251226-14:33:20-84774,config,,,*.host[*].energyManagement.nodeShutdownCapacity,0.0001J,,
General-2-20251226-14:33:20-84774,config,,,*.host[*].**.bitrate,1Mbps,,
General-2-20251226-14:33:20-84774,config,,,*.host[*].forwarding,true,,
General-2-20251226-14:33:20-84774,config,,,*.host[*].mobility.constraintAreaMinX,0m,,
General-2-20251226-14:33:20-84774,config,,,*.host[*].mobility.constraintAreaMinY,0m,,
General-2-20251226-14:33:20-84774,config,,,*.host[*].mobility.constraintAreaMinZ,0m,,
General-2-20251226-14:33:20-84774,config,,,*.host[*].mobility.constraintAreaMaxX,1250m,,
General-2-20251226-14:33:20-84774,config,,,*.host[*].mobility.constraintAreaMaxY,1250m,,
General-2-20251226-14:33:20-84774,config,,,*.host[*].mobility.constraintAreaMaxZ,0m,,
General-2-20251226-14:33:20-84774,config,,,*.host[*].mobility.initialX,"uniform(100m, 1150m)",,
General-2-20251226-14:33:20-84774,config,,,*.host[*].mobility.initialY,"uniform(100m, 1150m)",,
