run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-1-20251226-13:57:32-67455,runattr,,,configname,General,,
General-1-20251226-13:57:32-67455,runattr,,,datetime,20251226-13:57:32,,
General-1-20251226-13:57:32-67455,runattr,,,datetimef,20251226-135732,,
General-1-20251226-13:57:32-67455,runattr,,,experiment,General,,
General-1-20251226-13:57:32-67455,runattr,,,inifile,omnetpp.ini,,
General-1-20251226-13:57:32-67455,runattr,,,iterationvars,,,
General-1-20251226-13:57:32-67455,runattr,,,iterationvarsd,,,
General-1-20251226-13:57:32-67455,runattr,,,iterationvarsf,,,
General-1-20251226-13:57:32-67455,runattr,,,measurement,,,
General-1-20251226-13:57:32-67455,runattr,,,network,src.AdhocNetwork1,,
General-1-20251226-13:57:32-67455,runattr,,,processid,67455,,
General-1-20251226-13:57:32-67455,runattr,,,repetition,1,,
General-1-20251226-13:57:32-67455,runattr,,,replication,#1,,
General-1-20251226-13:57:32-67455,runattr,,,resultdir,results,,
General-1-20251226-13:57:32-67455,runattr,,,runnumber,1,,
General-1-20251226-13:57:32-67455,runattr,,,seedset,1,,
General-1-20251226-13:57:32-67455,config,,,image-path,../../../inet4.5/images,,
General-1-20251226-13:57:32-67455,config,,,repeat,5,,
General-1-20251226-13:57:32-67455,config,,,network,src.AdhocNetwork1,,
General-1-20251226-13:57:32-67455,config,,,sim-time-limit,40s,,
General-1-20251226-13:57:32-67455,config,,,*.host[*].ipv4.arp.typename,GlobalArp,,
General-1-20251226-13:57:32-67455,config,,,*.host[*].numApps,3,,
General-1-20251226-13:57:32-67455,config,,,*.host[*].app[0].typename,src.cluster.ClusterApp,,
General-1-20251226-13:57:32-67455,config,,,*.host[*].app[0].localPort,4000,,
General-1-20251226-13:57:32-67455,config,,,*.host[*].app[0].destPort,4000,,
General-1-20251226-13:57:32-67455,config,,,*.host[*].app[0].helloInterval,1s,,
General-1-20251226-13:57:32-67455,config,,,*.host[*].app[0].cfInterval,3s,,
General-1-20251226-13:57:32-67455,config,,,*.host[*].app[0].hldTimeThreshold,1s,,
General-1-20251226-13:57:32-67455,config,,,*.host[*].app[0].maxTrials,3,,
General-1-20251226-13:57:32-67455,config,,,*.host[*].app[0].requestTimeout,1s,,
General-1-20251226-13:57:32-67455,config,,,*.host[*].app[0].maxClusterSize,10,,
General-1-20251226-13:57:32-67455,config,,,*.host[*].app[1].typename,src.tcp.RecordingTcpClientApp,,
General-1-20251226-13:57:32-67455,config,,,*.host[*].app[1].delaySamplePeriod,1s,,
General-1-20251226-13:57:32-67455,config,,,*.host[*].app[1].delayStaleWindow,3s,,
General-1-20251226-13:57:32-67455,config,,,*.host[*].app[1].targetChangePeriod,5s,,
General-1-20251226-13:57:32-67455,config,,,*.host[*].app[1].connectPort,1000,,
General-1-20251226-13:57:32-67455,config,,,*.host[*].app[1].tOpen,2s,,
General-1-20251226-13:57:32-67455,config,,,*.host[*].app[1].tSend,4s,,
General-1-20251226-13:57:32-67455,config,,,*.host[*].app[1].thinkTime,0.3s,,
General-1-20251226-13:57:32-67455,config,,,*.host[*].app[1].idleInterval,5s,,
General-1-20251226-13:57:32-67455,config,,,*.host[*].app[1].sendBytes,200B,,
General-1-20251226-13:57:32-67455,config,,,*.host[*].app[1].sendInterval,1s,,
General-1-20251226-13:57:32-67455,config,,,*.host[*].app[1].connectAddress,"""host["" + string((index + intuniform(1,24)) % 25) + ""]""",,
General-1-20251226-13:57:32-67455,config,,,*.host[*].app[2].typename,TcpEchoApp,,
General-1-20251226-13:57:32-67455,config,,,*.host[*].app[2].localPort,1000,,
General-1-20251226-13:57:32-67455,config,,,*.host[*].typename,RouterWithMetrics,,
General-1-20251226-13:57:32-67455,config,,,**.metrics.samplePeriod,0.5s,,
General-1-20251226-13:57:32-67455,config,,,**.metrics.recordPerUtility,true,,
General-1-20251226-13:57:32-67455,config,,,*.host[*].wlan[0].typename,WirelessInterface,,
General-1-20251226-13:57:32-67455,config,,,*.host[*].wlan[0].radio.transmitter.communicationRange,350m,,
General-1-20251226-13:57:32-67455,config,,,*.host[*].wlan[0].radio.receiver.ignoreInterference,false,,
General-1-20251226-13:57:32-67455,config,,,*.host[*].wlan[0].radio.transmitter.interferenceRange,400m,,
General-1-20251226-13:57:32-67455,config,,,*.host[*].wlan[0].radio.typename,UnitDiskRadio,,
General-1-20251226-13:57:32-67455,config,,,*.host[*].wlan[0].mac.typename,CsmaCaMac,,
General-1-20251226-13:57:32-67455,config,,,*.host[*].wlan[0].mac.ackTimeout,300us,,
General-1-20251226-13:57:32-67455,config,,,*.host[*].wlan[0].mac.useAck,true,,
General-1-20251226-13:57:32-67455,config,,,*.host[*].wlan[0].mac.fullDuplex,false,,
General-1-20251226-13:57:32-67455,config,,,*.host[*].wlan[0].mac.headerLength,23B,,
General-1-20251226-13:57:32-67455,config,,,*.host[*].mobility.typename,CircleMobility,,
General-1-20251226-13:57:32-67455,config,,,*.host[*].mobility.cx,625m,,
