rep,t,mean_TotalClusterMsgSent,n_hosts_used
0,1000.0,96.0,99
0,2000.0,145.0,99
0,3000.0,170.0,99
0,4000.0,238.0,99
0,5000.0,327.0,99
0,6000.0,385.0,99
0,7000.0,498.0,99
0,8000.0,535.0,99
0,9000.0,614.0,99
0,10000.0,790.0,99
0,11000.0,825.0,99
0,12000.0,853.0,99
0,13000.0,985.0,99
0,14000.0,1052.0,99
0,15000.0,1087.0,99
0,16000.0,1157.0,99
0,17000.0,1267.0,99
0,18000.0,1415.0,99
0,19000.0,1452.0,99
0,20000.0,1491.0,99
0,21000.0,1608.0,99
0,22000.0,1647.0,99
0,23000.0,1690.0,99
0,24000.0,1957.0,99
0,25000.0,2001.0,99
0,26000.0,2133.0,99
0,27000.0,2311.0,99
0,28000.0,2356.0,99
0,29000.0,2486.0,99
0,30000.0,2654.0,99
0,31000.0,2695.0,99
0,32000.0,2860.0,99
0,33000.0,2900.0,99
0,34000.0,2980.0,99
0,35000.0,3209.0,99
0,36000.0,3323.0,99
0,37000.0,3359.0,99
0,38000.0,3538.0,99
0,39000.0,3572.0,99
0,40000.0,3728.0,99
0,41000.0,3855.0,99
0,42000.0,3983.0,99
0,43000.0,4109.0,99
0,44000.0,4230.0,99
0,45000.0,4378.0,99
0,46000.0,4525.0,99
0,47000.0,4612.0,99
0,48000.0,4669.0,99
0,49000.0,4697.0,99
0,50000.0,4755.0,99
1,1000.0,75.0,99
1,2000.0,151.0,99
1,3000.0,187.0,99
1,4000.0,335.0,99
1,5000.0,389.0,99
1,6000.0,444.0,99
1,7000.0,556.0,99
1,8000.0,614.0,99
1,9000.0,734.0,99
1,10000.0,832.0,99
1,11000.0,892.0,99
1,12000.0,1016.0,99
1,13000.0,1171.0,99
1,14000.0,1202.0,99
1,15000.0,1259.0,99
1,16000.0,1330.0,99
1,17000.0,1462.0,99
1,18000.0,1496.0,99
1,19000.0,1533.0,99
1,20000.0,1674.0,99
1,21000.0,1782.0,99
1,22000.0,1890.0,99
1,23000.0,1968.0,99
1,24000.0,2082.0,99
1,25000.0,2226.0,99
1,26000.0,2304.0,99
1,27000.0,2414.0,99
1,28000.0,2524.0,99
1,29000.0,2631.0,99
1,30000.0,2737.0,99
1,31000.0,2845.0,99
1,32000.0,2952.0,99
1,33000.0,3059.0,99
1,34000.0,3161.0,99
1,35000.0,3263.0,99
1,36000.0,3365.0,99
1,37000.0,3465.0,99
1,38000.0,3565.0,99
1,39000.0,3663.0,99
1,40000.0,3760.0,99
1,41000.0,3858.0,99
1,42000.0,3960.0,99
1,43000.0,4066.0,99
1,44000.0,4170.0,99
1,45000.0,4272.0,99
1,46000.0,4374.0,99
1,47000.0,4481.0,99
1,48000.0,4592.0,99
1,49000.0,4707.0,99
1,50000.0,4825.0,99
2,1000.0,86.0,99
2,2000.0,144.0,99
2,3000.0,174.0,99
2,4000.0,388.0,99
2,5000.0,446.0,99
2,6000.0,475.0,99
2,7000.0,553.0,99
2,8000.0,672.0,99
2,9000.0,737.0,99
2,10000.0,837.0,99
2,11000.0,941.0,99
2,12000.0,1046.0,99
2,13000.0,1188.0,99
2,14000.0,1263.0,99
2,15000.0,1341.0,99
2,16000.0,1469.0,99
2,17000.0,1531.0,99
2,18000.0,1619.0,99
2,19000.0,1731.0,99
2,20000.0,1759.0,99
2,21000.0,1886.0,99
2,22000.0,1975.0,99
2,23000.0,2106.0,99
2,24000.0,2190.0,99
2,25000.0,2276.0,99
2,26000.0,2368.0,99
2,27000.0,2504.0,99
2,28000.0,2594.0,99
2,29000.0,2686.0,99
2,30000.0,2830.0,99
2,31000.0,2928.0,99
2,32000.0,3028.0,99
2,33000.0,3127.0,99
2,34000.0,3228.0,99
2,35000.0,3335.0,99
2,36000.0,3497.0,99
2,37000.0,3606.0,99
2,38000.0,3661.0,99
2,39000.0,3718.0,99
2,40000.0,3893.0,99
2,41000.0,4016.0,99
2,42000.0,4138.0,99
2,43000.0,4319.0,99
2,44000.0,4437.0,99
2,45000.0,4552.0,99
2,46000.0,4664.0,99
2,47000.0,4720.0,99
2,48000.0,4882.0,99
2,49000.0,5152.0,99
2,50000.0,5206.0,99
3,1000.0,78.0,99
3,2000.0,180.0,99
3,3000.0,263.0,99
3,4000.0,361.0,99
3,5000.0,427.0,99
3,6000.0,529.0,99
3,7000.0,711.0,99
3,8000.0,785.0,99
3,9000.0,861.0,99
3,10000.0,976.0,99
3,11000.0,1014.0,99
3,12000.0,1051.0,99
3,13000.0,1124.0,99
3,14000.0,1198.0,99
3,15000.0,1277.0,99
3,16000.0,1354.0,99
3,17000.0,1430.0,99
3,18000.0,1470.0,99
3,19000.0,1550.0,99
3,20000.0,1636.0,99
3,21000.0,1725.0,99
3,22000.0,1817.0,99
3,23000.0,1911.0,99
3,24000.0,2005.0,99
3,25000.0,2102.0,99
3,26000.0,2207.0,99
3,27000.0,2317.0,99
3,28000.0,2428.0,99
3,29000.0,2540.0,99
3,30000.0,2653.0,99
3,31000.0,2764.0,99
3,32000.0,2872.0,99
3,33000.0,2980.0,99
3,34000.0,3090.0,99
3,35000.0,3203.0,99
3,36000.0,3317.0,99
3,37000.0,3429.0,99
3,38000.0,3485.0,99
3,39000.0,3541.0,99
3,40000.0,3653.0,99
3,41000.0,3765.0,99
3,42000.0,3873.0,99
3,43000.0,3982.0,99
3,44000.0,4089.0,99
3,45000.0,4197.0,99
3,46000.0,4305.0,99
3,47000.0,4406.0,99
3,48000.0,4507.0,99
3,49000.0,4605.0,99
3,50000.0,4701.0,99
4,1000.0,60.0,99
4,2000.0,108.0,99
4,3000.0,152.0,99
4,4000.0,234.0,99
4,5000.0,260.0,99
4,6000.0,320.0,99
4,7000.0,405.0,99
4,8000.0,486.0,99
4,9000.0,544.0,99
4,10000.0,664.0,99
4,11000.0,724.0,99
4,12000.0,814.0,99
4,13000.0,874.0,99
4,14000.0,938.0,99
4,15000.0,1098.0,99
4,16000.0,1162.0,99
4,17000.0,1258.0,99
4,18000.0,1323.0,99
4,19000.0,1425.0,99
4,20000.0,1491.0,99
4,21000.0,1555.0,99
4,22000.0,1619.0,99
4,23000.0,1685.0,99
4,24000.0,1751.0,99
4,25000.0,1834.0,99
4,26000.0,1926.0,99
4,27000.0,2020.0,99
4,28000.0,2112.0,99
4,29000.0,2204.0,99
4,30000.0,2292.0,99
4,31000.0,2384.0,99
4,32000.0,2474.0,99
4,33000.0,2566.0,99
4,34000.0,2660.0,99
4,35000.0,2796.0,99
4,36000.0,2882.0,99
4,37000.0,2970.0,99
4,38000.0,3056.0,99
4,39000.0,3185.0,99
4,40000.0,3274.0,99
4,41000.0,3364.0,99
4,42000.0,3456.0,99
4,43000.0,3550.0,99
4,44000.0,3640.0,99
4,45000.0,3724.0,99
4,46000.0,3806.0,99
4,47000.0,3886.0,99
4,48000.0,3962.0,99
4,49000.0,4040.0,99
4,50000.0,4117.0,99
