rep,host,t,TotalClusterMsgSent
0,0,1000.0,8.0
0,0,2000.0,12.0
0,0,3000.0,17.0
0,0,4000.0,29.0
0,0,5000.0,35.0
0,0,6000.0,42.0
0,0,7000.0,59.0
0,0,8000.0,68.0
0,0,9000.0,77.0
0,0,10000.0,95.0
0,0,11000.0,104.0
0,0,12000.0,113.0
0,0,13000.0,132.0
0,0,14000.0,142.0
0,0,15000.0,152.0
0,0,16000.0,182.0
0,0,17000.0,192.0
0,0,18000.0,202.0
0,0,19000.0,229.0
0,0,20000.0,256.0
0,0,21000.0,285.0
0,0,22000.0,305.0
0,0,23000.0,315.0
0,0,24000.0,326.0
0,0,25000.0,362.0
0,0,26000.0,398.0
0,0,27000.0,436.0
0,0,28000.0,475.0
0,0,29000.0,516.0
0,0,30000.0,544.0
0,0,31000.0,586.0
0,0,32000.0,614.0
0,0,33000.0,628.0
0,0,34000.0,670.0
0,0,35000.0,712.0
0,0,36000.0,726.0
0,0,37000.0,768.0
0,0,38000.0,795.0
0,0,39000.0,821.0
0,0,40000.0,847.0
0,0,41000.0,860.0
0,0,42000.0,873.0
0,0,43000.0,916.0
0,0,44000.0,948.0
0,0,45000.0,981.0
0,0,46000.0,1029.0
0,0,47000.0,1093.0
0,0,48000.0,1109.0
0,0,49000.0,1139.0
0,0,50000.0,1184.0
0,1,1000.0,16.0
0,1,2000.0,24.0
0,1,3000.0,32.0
0,1,4000.0,50.0
0,1,5000.0,59.0
0,1,6000.0,69.0
0,1,7000.0,89.0
0,1,8000.0,99.0
0,1,9000.0,109.0
0,1,10000.0,131.0
0,1,11000.0,142.0
0,1,12000.0,153.0
0,1,13000.0,176.0
0,1,14000.0,188.0
0,1,15000.0,200.0
0,1,16000.0,222.0
0,1,17000.0,233.0
0,1,18000.0,244.0
0,1,19000.0,266.0
0,1,20000.0,277.0
0,1,21000.0,289.0
0,1,22000.0,312.0
0,1,23000.0,323.0
0,1,24000.0,334.0
0,1,25000.0,358.0
0,1,26000.0,383.0
0,1,27000.0,396.0
0,1,28000.0,451.0
0,1,29000.0,465.0
0,1,30000.0,479.0
0,1,31000.0,528.0
0,1,32000.0,596.0
