rep,t,mean_globalNumCH,n_hosts_used
0,1000.0,13.0,49
0,2000.0,15.0,49
0,3000.0,22.0,49
0,4000.0,19.0,49
0,5000.0,16.0,49
0,6000.0,15.0,49
0,7000.0,16.0,49
0,8000.0,15.0,49
0,9000.0,15.0,49
0,10000.0,14.0,49
0,11000.0,13.0,49
0,12000.0,13.0,49
0,13000.0,13.0,49
0,14000.0,13.0,49
0,15000.0,12.0,49
0,16000.0,14.0,49
0,17000.0,14.0,49
0,18000.0,13.0,49
0,19000.0,13.0,49
0,20000.0,11.0,49
0,21000.0,11.0,49
0,22000.0,12.0,49
0,23000.0,12.0,49
0,24000.0,12.0,49
0,25000.0,12.0,49
0,26000.0,12.0,49
0,27000.0,14.0,49
0,28000.0,13.0,49
0,29000.0,13.0,49
0,30000.0,13.0,49
0,31000.0,12.0,49
0,32000.0,13.0,49
0,33000.0,13.0,49
0,34000.0,14.0,49
0,35000.0,13.0,49
0,36000.0,13.0,49
0,37000.0,13.0,49
0,38000.0,12.0,49
0,39000.0,15.0,49
0,40000.0,15.0,49
0,41000.0,16.0,49
0,42000.0,15.0,49
0,43000.0,15.0,49
0,44000.0,16.0,49
0,45000.0,16.0,49
0,46000.0,16.0,49
0,47000.0,15.0,49
0,48000.0,15.0,49
0,49000.0,15.0,49
0,50000.0,15.0,49
1,1000.0,12.0,49
1,2000.0,19.0,49
1,3000.0,23.0,49
1,4000.0,13.0,49
1,5000.0,12.0,49
1,6000.0,15.0,49
1,7000.0,14.0,49
1,8000.0,10.0,49
1,9000.0,12.0,49
1,10000.0,12.0,49
1,11000.0,12.0,49
1,12000.0,13.0,49
1,13000.0,13.0,49
1,14000.0,13.0,49
1,15000.0,13.0,49
1,16000.0,13.0,49
1,17000.0,13.0,49
1,18000.0,13.0,49
1,19000.0,13.0,49
1,20000.0,12.0,49
1,21000.0,12.0,49
1,22000.0,13.0,49
1,23000.0,13.0,49
1,24000.0,14.0,49
1,25000.0,15.0,49
1,26000.0,15.0,49
1,27000.0,15.0,49
1,28000.0,16.0,49
1,29000.0,17.0,49
1,30000.0,17.0,49
1,31000.0,17.0,49
1,32000.0,18.0,49
1,33000.0,18.0,49
1,34000.0,18.0,49
1,35000.0,18.0,49
1,36000.0,18.0,49
1,37000.0,18.0,49
1,38000.0,17.0,49
1,39000.0,18.0,49
1,40000.0,19.0,49
1,41000.0,19.0,49
1,42000.0,18.0,49
1,43000.0,21.0,49
1,44000.0,21.0,49
1,45000.0,19.0,49
1,46000.0,18.0,49
1,47000.0,18.0,49
1,48000.0,19.0,49
1,49000.0,18.0,49
1,50000.0,19.0,49
2,1000.0,13.0,49
2,2000.0,19.0,49
2,3000.0,24.0,49
2,4000.0,14.0,49
2,5000.0,14.0,49
2,6000.0,12.0,49
2,7000.0,12.0,49
2,8000.0,11.0,49
2,9000.0,9.0,49
2,10000.0,8.0,49
2,11000.0,7.0,49
2,12000.0,8.0,49
2,13000.0,8.0,49
2,14000.0,10.0,49
2,15000.0,11.0,49
2,16000.0,10.0,49
2,17000.0,10.0,49
2,18000.0,10.0,49
2,19000.0,9.0,49
2,20000.0,10.0,49
2,21000.0,10.0,49
2,22000.0,10.0,49
2,23000.0,10.0,49
2,24000.0,10.0,49
2,25000.0,12.0,49
2,26000.0,12.0,49
2,27000.0,13.0,49
2,28000.0,13.0,49
2,29000.0,13.0,49
2,30000.0,13.0,49
2,31000.0,15.0,49
2,32000.0,14.0,49
2,33000.0,16.0,49
2,34000.0,15.0,49
2,35000.0,15.0,49
2,36000.0,16.0,49
2,37000.0,15.0,49
2,38000.0,18.0,49
2,39000.0,19.0,49
2,40000.0,21.0,49
2,41000.0,22.0,49
2,42000.0,21.0,49
2,43000.0,21.0,49
2,44000.0,22.0,49
2,45000.0,21.0,49
2,46000.0,18.0,49
2,47000.0,18.0,49
2,48000.0,18.0,49
2,49000.0,20.0,49
2,50000.0,24.0,49
3,1000.0,15.0,49
3,2000.0,18.0,49
3,3000.0,22.0,49
3,4000.0,14.0,49
3,5000.0,13.0,49
3,6000.0,15.0,49
3,7000.0,14.0,49
3,8000.0,15.0,49
3,9000.0,11.0,49
3,10000.0,11.0,49
3,11000.0,11.0,49
3,12000.0,11.0,49
3,13000.0,12.0,49
3,14000.0,12.0,49
3,15000.0,12.0,49
3,16000.0,13.0,49
3,17000.0,13.0,49
3,18000.0,14.0,49
3,19000.0,15.0,49
3,20000.0,15.0,49
3,21000.0,15.0,49
3,22000.0,15.0,49
3,23000.0,16.0,49
3,24000.0,16.0,49
3,25000.0,16.0,49
3,26000.0,15.0,49
3,27000.0,16.0,49
3,28000.0,15.0,49
3,29000.0,16.0,49
3,30000.0,17.0,49
3,31000.0,17.0,49
3,32000.0,17.0,49
3,33000.0,17.0,49
3,34000.0,18.0,49
3,35000.0,18.0,49
3,36000.0,18.0,49
3,37000.0,18.0,49
3,38000.0,18.0,49
3,39000.0,19.0,49
3,40000.0,18.0,49
3,41000.0,18.0,49
3,42000.0,19.0,49
3,43000.0,18.0,49
3,44000.0,18.0,49
3,45000.0,17.0,49
3,46000.0,17.0,49
3,47000.0,17.0,49
3,48000.0,17.0,49
3,49000.0,21.0,49
3,50000.0,22.0,49
4,1000.0,11.0,49
4,2000.0,18.0,49
4,3000.0,19.0,49
4,4000.0,12.0,49
4,5000.0,8.0,49
4,6000.0,14.0,49
4,7000.0,13.0,49
4,8000.0,10.0,49
4,9000.0,11.0,49
4,10000.0,10.0,49
4,11000.0,12.0,49
4,12000.0,13.0,49
4,13000.0,13.0,49
4,14000.0,12.0,49
4,15000.0,12.0,49
4,16000.0,12.0,49
4,17000.0,15.0,49
4,18000.0,14.0,49
4,19000.0,14.0,49
4,20000.0,16.0,49
4,21000.0,17.0,49
4,22000.0,18.0,49
4,23000.0,16.0,49
4,24000.0,17.0,49
4,25000.0,16.0,49
4,26000.0,17.0,49
4,27000.0,16.0,49
4,28000.0,17.0,49
4,29000.0,17.0,49
4,30000.0,16.0,49
4,31000.0,16.0,49
4,32000.0,16.0,49
4,33000.0,16.0,49
4,34000.0,16.0,49
4,35000.0,16.0,49
4,36000.0,17.0,49
4,37000.0,18.0,49
4,38000.0,21.0,49
4,39000.0,20.0,49
4,40000.0,20.0,49
4,41000.0,20.0,49
4,42000.0,21.0,49
4,43000.0,22.0,49
4,44000.0,23.0,49
4,45000.0,24.0,49
4,46000.0,26.0,49
4,47000.0,25.0,49
4,48000.0,26.0,49
4,49000.0,24.0,49
4,50000.0,26.0,49
