run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20251226-16:34:31-142349,runattr,,,configname,General,,
General-0-20251226-16:34:31-142349,runattr,,,datetime,20251226-16:34:31,,
General-0-20251226-16:34:31-142349,runattr,,,datetimef,20251226-163431,,
General-0-20251226-16:34:31-142349,runattr,,,experiment,General,,
General-0-20251226-16:34:31-142349,runattr,,,inifile,omnetpp.ini,,
General-0-20251226-16:34:31-142349,runattr,,,iterationvars,,,
General-0-20251226-16:34:31-142349,runattr,,,iterationvarsd,,,
General-0-20251226-16:34:31-142349,runattr,,,iterationvarsf,,,
General-0-20251226-16:34:31-142349,runattr,,,measurement,,,
General-0-20251226-16:34:31-142349,runattr,,,network,src.AdhocNetwork1,,
General-0-20251226-16:34:31-142349,runattr,,,processid,142349,,
General-0-20251226-16:34:31-142349,runattr,,,repetition,0,,
General-0-20251226-16:34:31-142349,runattr,,,replication,#0,,
General-0-20251226-16:34:31-142349,runattr,,,resultdir,results,,
General-0-20251226-16:34:31-142349,runattr,,,runnumber,0,,
General-0-20251226-16:34:31-142349,runattr,,,seedset,0,,
General-0-20251226-16:34:31-142349,config,,,image-path,../../../inet4.5/images,,
General-0-20251226-16:34:31-142349,config,,,repeat,5,,
General-0-20251226-16:34:31-142349,config,,,network,src.AdhocNetwork1,,
General-0-20251226-16:34:31-142349,config,,,sim-time-limit,50s,,
General-0-20251226-16:34:31-142349,config,,,*.host[*].ipv4.arp.typename,GlobalArp,,
General-0-20251226-16:34:31-142349,config,,,*.host[*].numApps,3,,
General-0-20251226-16:34:31-142349,config,,,*.host[*].app[0].typename,src.cluster.ClusterApp,,
General-0-20251226-16:34:31-142349,config,,,*.host[*].app[0].localPort,4000,,
General-0-20251226-16:34:31-142349,config,,,*.host[*].app[0].destPort,4000,,
General-0-20251226-16:34:31-142349,config,,,*.host[*].app[0].helloInterval,1s,,
General-0-20251226-16:34:31-142349,config,,,*.host[*].app[0].cfInterval,3s,,
General-0-20251226-16:34:31-142349,config,,,*.host[*].app[0].hldTimeThreshold,1s,,
General-0-20251226-16:34:31-142349,config,,,*.host[*].app[0].maxTrials,3,,
General-0-20251226-16:34:31-142349,config,,,*.host[*].app[0].requestTimeout,1s,,
General-0-20251226-16:34:31-142349,config,,,*.host[*].app[0].maxClusterSize,10,,
General-0-20251226-16:34:31-142349,config,,,*.host[*].app[1].typename,src.tcp.RecordingTcpClientApp,,
General-0-20251226-16:34:31-142349,config,,,*.host[*].app[1].delaySamplePeriod,1s,,
General-0-20251226-16:34:31-142349,config,,,*.host[*].app[1].delayStaleWindow,3s,,
General-0-20251226-16:34:31-142349,config,,,*.host[*].app[1].connectPort,1000,,
General-0-20251226-16:34:31-142349,config,,,*.host[*].app[1].tOpen,"uniform(1s, 2s)",,
General-0-20251226-16:34:31-142349,config,,,*.host[*].app[1].tSend,"uniform(1s, 2s)",,
General-0-20251226-16:34:31-142349,config,,,*.host[*].app[1].thinkTime,"uniform(0s, 1s)",,
General-0-20251226-16:34:31-142349,config,,,*.host[*].app[1].idleInterval,"uniform(3s, 5s)",,
General-0-20251226-16:34:31-142349,config,,,*.host[*].app[1].sendBytes,200B,,
General-0-20251226-16:34:31-142349,config,,,*.host[*].app[1].sendInterval,"uniform(1s, 2s)",,
General-0-20251226-16:34:31-142349,config,,,*.host[*].app[1].connectAddress,"""host["" + string((index + intuniform(1,24)) % 25) + ""]""",,
General-0-20251226-16:34:31-142349,config,,,*.host[*].app[2].typename,TcpEchoApp,,
General-0-20251226-16:34:31-142349,config,,,*.host[*].app[2].localPort,1000,,
General-0-20251226-16:34:31-142349,config,,,*.host[*].typename,RouterWithMetrics,,
General-0-20251226-16:34:31-142349,config,,,**.metrics.samplePeriod,0.5s,,
General-0-20251226-16:34:31-142349,config,,,**.metrics.recordPerUtility,true,,
General-0-20251226-16:34:31-142349,config,,,*.host[*].wlan[0].typename,WirelessInterface,,
General-0-20251226-16:34:31-142349,config,,,*.radioMedium.typename,Ieee80211DimensionalRadioMedium,,
General-0-20251226-16:34:31-142349,config,,,*.radioMedium.analogModel.typename,DimensionalAnalogModel,,
General-0-20251226-16:34:31-142349,config,,,*.radioMedium.backgroundNoise.power,-120dBm,,
General-0-20251226-16:34:31-142349,config,,,*.host[*].wlan[0].radio.typename,Ieee80211DimensionalRadio,,
General-0-20251226-16:34:31-142349,config,,,*.host[*].wlan[0].radio.transmitter.power,2mW,,
General-0-20251226-16:34:31-142349,config,,,*.host[*].wlan[0].radio.transmitter.centerFrequency,2.412GHz,,
General-0-20251226-16:34:31-142349,config,,,*.host[*].wlan[0].radio.transmitter.bandwidth,20MHz,,
General-0-20251226-16:34:31-142349,config,,,*.host[*].wlan[0].radio.receiver.sensitivity,-90dBm,,
General-0-20251226-16:34:31-142349,config,,,*.host[*].wlan[0].radio.receiver.snirThreshold,4dB,,
General-0-20251226-16:34:31-142349,config,,,*.host[*].wlan[0].radio.receiver.ignoreInterference,false,,
General-0-20251226-16:34:31-142349,config,,,*.host[*].wlan[0].mac.rateControl.typename,ConstantRateControl,,
General-0-20251226-16:34:31-142349,config,,,*.host[*].wlan[0].mac.rateControl.dataRate,6Mbps,,
General-0-20251226-16:34:31-142349,config,,,*.host[*].wlan[0].mac.rateControl.multicastRate,6Mbps,,
General-0-20251226-16:34:31-142349,config,,,*.host[*].wlan[0].mac.typename,CsmaCaMac,,
General-0-20251226-16:34:31-142349,config,,,*.host[*].wlan[0].mac.ackTimeout,300us,,
General-0-20251226-16:34:31-142349,config,,,*.host[*].wlan[0].mac.useAck,true,,
General-0-20251226-16:34:31-142349,config,,,*.host[*].wlan[0].mac.fullDuplex,false,,
General-0-20251226-16:34:31-142349,config,,,*.host[*].wlan[0].mac.headerLength,23B,,
General-0-20251226-16:34:31-142349,config,,,*.host[*].mobility.typename,LinearMobility,,
General-0-20251226-16:34:31-142349,config,,,*.host[*].mobility.speed,10mps,,
General-0-20251226-16:34:31-142349,config,,,*.host[*].mobility.angle,45deg,,
General-0-20251226-16:34:31-142349,config,,,*.host[*].wlan[0].queue.typename,DropTailQueue,,
General-0-20251226-16:34:31-142349,config,,,*.host[*].wlan[0].queue.packetCapacity,10,,
General-0-20251226-16:34:31-142349,config,,,*.host[*].hasStatus,true,,
General-0-20251226-16:34:31-142349,config,,,*.host[*].wlan[0].radio.energyConsumer.typename,StateBasedEpEnergyConsumer,,
General-0-20251226-16:34:31-142349,config,,,*.host[*].wlan[0].radio.energyConsumer.offPowerConsumption,0mW,,
General-0-20251226-16:34:31-142349,config,,,*.host[*].wlan[0].radio.energyConsumer.sleepPowerConsumption,1mW,,
General-0-20251226-16:34:31-142349,config,,,*.host[*].wlan[0].radio.energyConsumer.switchingPowerConsumption,1mW,,
General-0-20251226-16:34:31-142349,config,,,*.host[*].wlan[0].radio.energyConsumer.receiverIdlePowerConsumption,2mW,,
General-0-20251226-16:34:31-142349,config,,,*.host[*].wlan[0].radio.energyConsumer.receiverBusyPowerConsumption,5mW,,
General-0-20251226-16:34:31-142349,config,,,*.host[*].wlan[0].radio.energyConsumer.receiverReceivingPowerConsumption,10mW,,
General-0-20251226-16:34:31-142349,config,,,*.host[*].wlan[0].radio.energyConsumer.transmitterIdlePowerConsumption,2mW,,
General-0-20251226-16:34:31-142349,config,,,*.host[*].wlan[0].radio.energyConsumer.transmitterTransmittingPowerConsumption,100mW,,
General-0-20251226-16:34:31-142349,config,,,*.host[*].energyStorage.typename,SimpleEpEnergyStorage,,
General-0-20251226-16:34:31-142349,config,,,*.host[*].energyStorage.nominalCapacity,2J,,
General-0-20251226-16:34:31-142349,config,,,*.host[*].energyStorage.initialCapacity,2J,,
General-0-20251226-16:34:31-142349,config,,,*.host[*].energyManagement.typename,SimpleEpEnergyManagement,,
General-0-20251226-16:34:31-142349,config,,,*.host[*].energyManagement.nodeStartCapacity,0.0001J,,
General-0-20251226-16:34:31-142349,config,,,*.host[*].energyManagement.nodeShutdownCapacity,0.0001J,,
General-0-20251226-16:34:31-142349,config,,,*.host[*].**.bitrate,6Mbps,,
General-0-20251226-16:34:31-142349,config,,,*.host[*].forwarding,true,,
General-0-20251226-16:34:31-142349,config,,,*.host[*].mobility.constraintAreaMinX,0m,,
