run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-3-20251226-15:19:05-107425,runattr,,,configname,General,,
General-3-20251226-15:19:05-107425,runattr,,,datetime,20251226-15:19:05,,
General-3-20251226-15:19:05-107425,runattr,,,datetimef,20251226-151905,,
General-3-20251226-15:19:05-107425,runattr,,,experiment,General,,
General-3-20251226-15:19:05-107425,runattr,,,inifile,omnetpp.ini,,
General-3-20251226-15:19:05-107425,runattr,,,iterationvars,,,
General-3-20251226-15:19:05-107425,runattr,,,iterationvarsd,,,
General-3-20251226-15:19:05-107425,runattr,,,iterationvarsf,,,
General-3-20251226-15:19:05-107425,runattr,,,measurement,,,
General-3-20251226-15:19:05-107425,runattr,,,network,src.AdhocNetwork1,,
General-3-20251226-15:19:05-107425,runattr,,,processid,107425,,
General-3-20251226-15:19:05-107425,runattr,,,repetition,3,,
General-3-20251226-15:19:05-107425,runattr,,,replication,#3,,
General-3-20251226-15:19:05-107425,runattr,,,resultdir,results,,
General-3-20251226-15:19:05-107425,runattr,,,runnumber,3,,
General-3-20251226-15:19:05-107425,runattr,,,seedset,3,,
General-3-20251226-15:19:05-107425,config,,,image-path,../../../inet4.5/images,,
General-3-20251226-15:19:05-107425,config,,,repeat,5,,
General-3-20251226-15:19:05-107425,config,,,network,src.AdhocNetwork1,,
General-3-20251226-15:19:05-107425,config,,,sim-time-limit,50s,,
General-3-20251226-15:19:05-107425,config,,,*.host[*].ipv4.arp.typename,GlobalArp,,
General-3-20251226-15:19:05-107425,config,,,*.host[*].numApps,3,,
General-3-20251226-15:19:05-107425,config,,,*.host[*].app[0].typename,src.cluster.ClusterApp,,
General-3-20251226-15:19:05-107425,config,,,*.host[*].app[0].localPort,4000,,
General-3-20251226-15:19:05-107425,config,,,*.host[*].app[0].destPort,4000,,
General-3-20251226-15:19:05-107425,config,,,*.host[*].app[0].helloInterval,1s,,
General-3-20251226-15:19:05-107425,config,,,*.host[*].app[0].cfInterval,3s,,
General-3-20251226-15:19:05-107425,config,,,*.host[*].app[0].hldTimeThreshold,1s,,
General-3-20251226-15:19:05-107425,config,,,*.host[*].app[0].maxTrials,3,,
General-3-20251226-15:19:05-107425,config,,,*.host[*].app[0].requestTimeout,1s,,
General-3-20251226-15:19:05-107425,config,,,*.host[*].app[0].maxClusterSize,10,,
General-3-20251226-15:19:05-107425,config,,,*.host[*].app[1].typename,src.tcp.RecordingTcpClientApp,,
General-3-20251226-15:19:05-107425,config,,,*.host[*].app[1].delaySamplePeriod,1s,,
General-3-20251226-15:19:05-107425,config,,,*.host[*].app[1].delayStaleWindow,3s,,
General-3-20251226-15:19:05-107425,config,,,*.host[*].app[1].connectPort,1000,,
General-3-20251226-15:19:05-107425,config,,,*.host[*].app[1].tOpen,"uniform(1s, 2s)",,
General-3-20251226-15:19:05-107425,config,,,*.host[*].app[1].tSend,"uniform(1s, 2s)",,
General-3-20251226-15:19:05-107425,config,,,*.host[*].app[1].thinkTime,"uniform(0s, 1s)",,
General-3-20251226-15:19:05-107425,config,,,*.host[*].app[1].idleInterval,"uniform(3s, 5s)",,
General-3-20251226-15:19:05-107425,config,,,*.host[*].app[1].sendBytes,200B,,
General-3-20251226-15:19:05-107425,config,,,*.host[*].app[1].sendInterval,"uniform(1s, 2s)",,
General-3-20251226-15:19:05-107425,config,,,*.host[*].app[1].connectAddress,"""host["" + string((index + intuniform(1,24)) % 25) + ""]""",,
General-3-20251226-15:19:05-107425,config,,,*.host[*].app[2].typename,TcpEchoApp,,
General-3-20251226-15:19:05-107425,config,,,*.host[*].app[2].localPort,1000,,
General-3-20251226-15:19:05-107425,config,,,*.host[*].typename,RouterWithMetrics,,
