rep,host,t,rlReward
0,0,5000.0,0.16210640715965
0,0,6000.0,0.13768303358476
0,0,7000.0,0.042954456957726
0,0,8000.0,0.15472555254139
0,0,9000.0,0.14354976910072
0,0,10000.0,0.0
0,0,11000.0,0.00067073699433523
0,0,12000.0,0.17796956961328
0,0,13000.0,0.19251658265694
0,0,14000.0,0.23744347254304
0,0,15000.0,0.21770327489025
0,0,16000.0,0.1576577459449
0,0,17000.0,0.20111283108596
0,0,18000.0,0.20832607519812
0,0,19000.0,0.1935811682165
0,0,20000.0,0.22435606836015
0,0,21000.0,0.22029835496094
0,0,22000.0,0.14376697745353
0,0,23000.0,0.16841486009475
0,0,24000.0,0.14731218298712
0,0,25000.0,-0.2
0,0,26000.0,0.1599723997835
0,0,27000.0,0.10480580667799
0,0,28000.0,0.25321580490972
0,0,29000.0,0.17165496121896
0,0,30000.0,0.15123960989992
0,0,31000.0,0.098469613457226
0,0,32000.0,0.1064625256877
0,0,33000.0,0.10013399253828
0,0,34000.0,0.037090219812354
0,0,35000.0,0.063187612312162
0,0,36000.0,0.089087612985113
0,0,37000.0,0.032425456415085
0,0,38000.0,0.010934214442813
0,0,39000.0,0.0086037034709159
0,0,40000.0,0.10861375456438
0,0,41000.0,0.075034643090243
0,0,42000.0,0.054801282009285
0,0,43000.0,0.0
0,0,44000.0,-0.64806020104293
0,0,45000.0,-0.64266549891578
0,0,46000.0,-0.61965175277996
0,0,47000.0,-0.66666666666667
0,0,48000.0,-0.51982623275866
0,0,49000.0,-0.64738921554063
0,0,50000.0,-0.60279963596609
0,0,51000.0,-0.65867017596126
0,0,52000.0,0.038624132744427
0,0,53000.0,0.036975479091039
0,0,54000.0,0.053357702242735
0,0,55000.0,0.051158867472038
0,0,56000.0,0.051512263160579
0,0,57000.0,0.19804349515308
0,0,58000.0,0.09103588712882
0,0,59000.0,0.020184276122575
0,0,60000.0,0.043220289508857
0,1,5000.0,-0.54181216846781
0,1,6000.0,-0.55147471296606
0,1,7000.0,-0.63273441052416
0,1,8000.0,-0.66666666666667
