run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-3-20251226-15:26:32-111137,runattr,,,configname,General,,
General-3-20251226-15:26:32-111137,runattr,,,datetime,20251226-15:26:32,,
General-3-20251226-15:26:32-111137,runattr,,,datetimef,20251226-152632,,
General-3-20251226-15:26:32-111137,runattr,,,experiment,General,,
General-3-20251226-15:26:32-111137,runattr,,,inifile,omnetpp.ini,,
General-3-20251226-15:26:32-111137,runattr,,,iterationvars,,,
General-3-20251226-15:26:32-111137,runattr,,,iterationvarsd,,,
General-3-20251226-15:26:32-111137,runattr,,,iterationvarsf,,,
General-3-20251226-15:26:32-111137,runattr,,,measurement,,,
General-3-20251226-15:26:32-111137,runattr,,,network,src.AdhocNetwork1,,
General-3-20251226-15:26:32-111137,runattr,,,processid,111137,,
General-3-20251226-15:26:32-111137,runattr,,,repetition,3,,
General-3-20251226-15:26:32-111137,runattr,,,replication,#3,,
General-3-20251226-15:26:32-111137,runattr,,,resultdir,results,,
General-3-20251226-15:26:32-111137,runattr,,,runnumber,3,,
General-3-20251226-15:26:32-111137,runattr,,,seedset,3,,
General-3-20251226-15:26:32-111137,config,,,image-path,../../../inet4.5/images,,
General-3-20251226-15:26:32-111137,config,,,repeat,5,,
General-3-20251226-15:26:32-111137,config,,,network,src.AdhocNetwork1,,
General-3-20251226-15:26:32-111137,config,,,sim-time-limit,50s,,
General-3-20251226-15:26:32-111137,config,,,*.host[*].ipv4.arp.typename,GlobalArp,,
General-3-20251226-15:26:32-111137,config,,,*.host[*].numApps,3,,
General-3-20251226-15:26:32-111137,config,,,*.host[*].app[0].typename,src.cluster.ClusterApp,,
General-3-20251226-15:26:32-111137,config,,,*.host[*].app[0].localPort,4000,,
General-3-20251226-15:26:32-111137,config,,,*.host[*].app[0].destPort,4000,,
General-3-20251226-15:26:32-111137,config,,,*.host[*].app[0].helloInterval,1s,,
General-3-20251226-15:26:32-111137,config,,,*.host[*].app[0].cfInterval,3s,,
General-3-20251226-15:26:32-111137,config,,,*.host[*].app[0].hldTimeThreshold,1s,,
General-3-20251226-15:26:32-111137,config,,,*.host[*].app[0].maxTrials,3,,
General-3-20251226-15:26:32-111137,config,,,*.host[*].app[0].requestTimeout,1s,,
General-3-20251226-15:26:32-111137,config,,,*.host[*].app[0].maxClusterSize,10,,
General-3-20251226-15:26:32-111137,config,,,*.host[*].app[1].typename,src.tcp.RecordingTcpClientApp,,
General-3-20251226-15:26:32-111137,config,,,*.host[*].app[1].delaySamplePeriod,1s,,
General-3-20251226-15:26:32-111137,config,,,*.host[*].app[1].delayStaleWindow,3s,,
General-3-20251226-15:26:32-111137,config,,,*.host[*].app[1].connectPort,1000,,
General-3-20251226-15:26:32-111137,config,,,*.host[*].app[1].tOpen,"uniform(1s, 2s)",,
General-3-20251226-15:26:32-111137,config,,,*.host[*].app[1].tSend,"uniform(1s, 2s)",,
General-3-20251226-15:26:32-111137,config,,,*.host[*].app[1].thinkTime,"uniform(0s, 1s)",,
General-3-20251226-15:26:32-111137,config,,,*.host[*].app[1].idleInterval,"uniform(3s, 5s)",,
General-3-20251226-15:26:32-111137,config,,,*.host[*].app[1].sendBytes,200B,,
General-3-20251226-15:26:32-111137,config,,,*.host[*].app[1].sendInterval,"uniform(1s, 2s)",,
General-3-20251226-15:26:32-111137,config,,,*.host[*].app[1].connectAddress,"""host["" + string((index + intuniform(1,24)) % 25) + ""]""",,
General-3-20251226-15:26:32-111137,config,,,*.host[*].app[2].typename,TcpEchoApp,,
General-3-20251226-15:26:32-111137,config,,,*.host[*].app[2].localPort,1000,,
General-3-20251226-15:26:32-111137,config,,,*.host[*].typename,RouterWithMetrics,,
General-3-20251226-15:26:32-111137,config,,,**.metrics.samplePeriod,0.5s,,
General-3-20251226-15:26:32-111137,config,,,**.metrics.recordPerUtility,true,,
General-3-20251226-15:26:32-111137,config,,,*.host[*].wlan[0].typename,WirelessInterface,,
General-3-20251226-15:26:32-111137,config,,,*.host[*].wlan[0].radio.transmitter.communicationRange,350m,,
General-3-20251226-15:26:32-111137,config,,,*.host[*].wlan[0].radio.receiver.ignoreInterference,false,,
General-3-20251226-15:26:32-111137,config,,,*.host[*].wlan[0].radio.transmitter.interferenceRange,400m,,
General-3-20251226-15:26:32-111137,config,,,*.host[*].wlan[0].radio.typename,UnitDiskRadio,,
General-3-20251226-15:26:32-111137,config,,,*.host[*].wlan[0].mac.typename,CsmaCaMac,,
General-3-20251226-15:26:32-111137,config,,,*.host[*].wlan[0].mac.fullDuplex,false,,
General-3-20251226-15:26:32-111137,config,,,*.host[*].wlan[0].mac.useBackoff,true,,
General-3-20251226-15:26:32-111137,config,,,*.host[*].wlan[0].mac.useAck,false,,
General-3-20251226-15:26:32-111137,config,,,*.host[*].wlan[0].mac.useRtsCts,false,,
General-3-20251226-15:26:32-111137,config,,,*.host[*].mobility.typename,RandomWaypointMobility,,
General-3-20251226-15:26:32-111137,config,,,*.host[*].mobility.speed,10mps,,
General-3-20251226-15:26:32-111137,config,,,*.host[*].mobility.waitTime,100ms,,
General-3-20251226-15:26:32-111137,config,,,*.host[*].wlan[0].queue.typename,DropTailQueue,,
General-3-20251226-15:26:32-111137,config,,,*.host[*].wlan[0].queue.packetCapacity,10,,
General-3-20251226-15:26:32-111137,config,,,*.host[*].hasStatus,true,,
General-3-20251226-15:26:32-111137,config,,,*.host[*].wlan[0].radio.energyConsumer.typename,StateBasedEpEnergyConsumer,,
General-3-20251226-15:26:32-111137,config,,,*.host[*].wlan[0].radio.energyConsumer.offPowerConsumption,0mW,,
General-3-20251226-15:26:32-111137,config,,,*.host[*].wlan[0].radio.energyConsumer.sleepPowerConsumption,1mW,,
General-3-20251226-15:26:32-111137,config,,,*.host[*].wlan[0].radio.energyConsumer.switchingPowerConsumption,1mW,,
General-3-20251226-15:26:32-111137,config,,,*.host[*].wlan[0].radio.energyConsumer.receiverIdlePowerConsumption,2mW,,
General-3-20251226-15:26:32-111137,config,,,*.host[*].wlan[0].radio.energyConsumer.receiverBusyPowerConsumption,5mW,,
General-3-20251226-15:26:32-111137,config,,,*.host[*].wlan[0].radio.energyConsumer.receiverReceivingPowerConsumption,10mW,,
General-3-20251226-15:26:32-111137,config,,,*.host[*].wlan[0].radio.energyConsumer.transmitterIdlePowerConsumption,2mW,,
General-3-20251226-15:26:32-111137,config,,,*.host[*].wlan[0].radio.energyConsumer.transmitterTransmittingPowerConsumption,100mW,,
General-3-20251226-15:26:32-111137,config,,,*.host[*].energyStorage.typename,SimpleEpEnergyStorage,,
General-3-20251226-15:26:32-111137,config,,,*.host[*].energyStorage.nominalCapacity,2J,,
General-3-20251226-15:26:32-111137,config,,,*.host[*].energyStorage.initialCapacity,2J,,
General-3-20251226-15:26:32-111137,config,,,*.host[*].energyManagement.typename,SimpleEpEnergyManagement,,
General-3-20251226-15:26:32-111137,config,,,*.host[*].energyManagement.nodeStartCapacity,0.0001J,,
General-3-20251226-15:26:32-111137,config,,,*.host[*].energyManagement.nodeShutdownCapacity,0.0001J,,
General-3-20251226-15:26:32-111137,config,,,*.host[*].**.bitrate,1Mbps,,
General-3-20251226-15:26:32-111137,config,,,*.host[*].forwarding,true,,
General-3-20251226-15:26:32-111137,config,,,*.host[*].mobility.constraintAreaMinX,0m,,
General-3-20251226-15:26:32-111137,config,,,*.host[*].mobility.constraintAreaMinY,0m,,
General-3-20251226-15:26:32-111137,config,,,*.host[*].mobility.constraintAreaMinZ,0m,,
General-3-20251226-15:26:32-111137,config,,,*.host[*].mobility.constraintAreaMaxX,1250m,,
General-3-20251226-15:26:32-111137,config,,,*.host[*].mobility.constraintAreaMaxY,1250m,,
General-3-20251226-15:26:32-111137,config,,,*.host[*].mobility.constraintAreaMaxZ,0m,,
General-3-20251226-15:26:32-111137,config,,,*.host[*].mobility.initialX,"uniform(100m, 1150m)",,
General-3-20251226-15:26:32-111137,config,,,*.host[*].mobility.initialY,"uniform(100m, 1150m)",,
General-3-20251226-15:26:32-111137,config,,,*.host[*].wlan[0].radio.displayCommunicationRange,true,,
General-3-20251226-15:26:32-111137,config,,,*.configurator.config,"xml(""<config><interface hosts='**' address='10.0.0.x' netmask='255.255.255.0'/></config>"")",,
General-3-20251226-15:26:32-111137,config,,,*.configurator.addDefaultRoutes,false,,
General-3-20251226-15:26:32-111137,config,,,*.configurator.addStaticRoutes,false,,
General-3-20251226-15:26:32-111137,config,,,*.configurator.optimizeRoutes,false,,
General-3-20251226-15:26:32-111137,config,,,*.host*.ipv4.routingTable.netmaskRoutes,"""""",,
General-3-20251226-15:26:32-111137,config,,,*.linkVisualizer.*.displayLinks,false,,
General-1-20251226-15:26:32-111134,runattr,,,configname,General,,
