run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-1-20251226-16:09:33-132438,runattr,,,configname,General,,
General-1-20251226-16:09:33-132438,runattr,,,datetime,20251226-16:09:33,,
General-1-20251226-16:09:33-132438,runattr,,,datetimef,20251226-160933,,
General-1-20251226-16:09:33-132438,runattr,,,experiment,General,,
General-1-20251226-16:09:33-132438,runattr,,,inifile,omnetpp.ini,,
General-1-20251226-16:09:33-132438,runattr,,,iterationvars,,,
General-1-20251226-16:09:33-132438,runattr,,,iterationvarsd,,,
General-1-20251226-16:09:33-132438,runattr,,,iterationvarsf,,,
General-1-20251226-16:09:33-132438,runattr,,,measurement,,,
General-1-20251226-16:09:33-132438,runattr,,,network,src.AdhocNetwork1,,
General-1-20251226-16:09:33-132438,runattr,,,processid,132438,,
General-1-20251226-16:09:33-132438,runattr,,,repetition,1,,
General-1-20251226-16:09:33-132438,runattr,,,replication,#1,,
General-1-20251226-16:09:33-132438,runattr,,,resultdir,results,,
General-1-20251226-16:09:33-132438,runattr,,,runnumber,1,,
General-1-20251226-16:09:33-132438,runattr,,,seedset,1,,
General-1-20251226-16:09:33-132438,config,,,image-path,../../../inet4.5/images,,
General-1-20251226-16:09:33-132438,config,,,repeat,5,,
General-1-20251226-16:09:33-132438,config,,,network,src.AdhocNetwork1,,
General-1-20251226-16:09:33-132438,config,,,sim-time-limit,50s,,
General-1-20251226-16:09:33-132438,config,,,*.host[*].ipv4.arp.typename,GlobalArp,,
General-1-20251226-16:09:33-132438,config,,,*.host[*].numApps,3,,
General-1-20251226-16:09:33-132438,config,,,*.host[*].app[0].typename,src.cluster.ClusterApp,,
General-1-20251226-16:09:33-132438,config,,,*.host[*].app[0].localPort,4000,,
General-1-20251226-16:09:33-132438,config,,,*.host[*].app[0].destPort,4000,,
General-1-20251226-16:09:33-132438,config,,,*.host[*].app[0].helloInterval,1s,,
General-1-20251226-16:09:33-132438,config,,,*.host[*].app[0].cfInterval,3s,,
General-1-20251226-16:09:33-132438,config,,,*.host[*].app[0].hldTimeThreshold,1s,,
General-1-20251226-16:09:33-132438,config,,,*.host[*].app[0].maxTrials,3,,
General-1-20251226-16:09:33-132438,config,,,*.host[*].app[0].requestTimeout,1s,,
General-1-20251226-16:09:33-132438,config,,,*.host[*].app[0].maxClusterSize,10,,
General-1-20251226-16:09:33-132438,config,,,*.host[*].app[1].typename,src.tcp.RecordingTcpClientApp,,
General-1-20251226-16:09:33-132438,config,,,*.host[*].app[1].delaySamplePeriod,1s,,
General-1-20251226-16:09:33-132438,config,,,*.host[*].app[1].delayStaleWindow,3s,,
General-1-20251226-16:09:33-132438,config,,,*.host[*].app[1].connectPort,1000,,
